'Plant'	'Type'	'Array'	'# Healthy Seeds'	'Aborted'	'Ovules'	'Additional Comments'	'Predicted Plant #'
80	'W'	34	24	11	1		
80	'W'	34	30	4	3		
56	'T'	17	33	0		'Could not measure ovules or aborted seeds'	
56	'T'	17	39	0		'Could not measure ovules or aborted seeds'	
56	'T'	17	30	2		'Could not measure ovules or aborted seeds'	
77	'T'	17	25			'Could not measure ovules or aborted seeds'	
77	'T'	17	32			'Could not measure ovules or aborted seeds'	
77	'T'	17	31			'Could not measure ovules or aborted seeds'	
68	'T'	13	27	2		'Could not measure ovules or aborted seeds'	
68	'T'	13	26			'Could not measure ovules or aborted seeds'	
68	'T'	13	26			'Could not measure ovules or aborted seeds'	
56	'T'	16	32			'Could not measure ovules or aborted seeds'	
56	'T'	16	29	1		'Could not measure ovules or aborted seeds'	
56	'T'	16	24	1		'Could not measure ovules or aborted seeds'	
56	'T'	16	32			'Could not measure ovules or aborted seeds'	
56	'T'	16	27	2		'Could not measure ovules or aborted seeds'	
'78 (?)'	'W'	25	28	1		'Could not measure ovules or aborted seeds'	78
'78 (?)'	'W'	25	31	4		'Could not measure ovules or aborted seeds'	78
'78 (?)'	'W'	25	28	2		'Could not measure ovules or aborted seeds'	78
77	'T'	14	26	0		'Could not measure ovules or aborted seeds'	
'13 or 73 (?)'	'W'	36	27	0		'Could not measure ovules or aborted seeds'	41
'13 or 73 (?)'	'W'	36	26			'Could not measure ovules or aborted seeds'	41
'13 or 73 (?)'	'W'	36	25			'Could not measure ovules or aborted seeds'	41
74	'T'	13	28	0		'Could not measure ovules or aborted seeds'	
74	'T'	13	23	4		'Could not measure ovules or aborted seeds'	
74	'T'	13	30			'Could not measure ovules or aborted seeds'	
'87 or 89 (?)'	'T'	19	19	1		'Could not measure ovules or aborted seeds'	89
'87 or 89 (?)'	'T'	19	18	3		'Could not measure ovules or aborted seeds'	89
'87 or 89 (?)'	'T'	19	18	3		'Could not measure ovules or aborted seeds'	89
'87 or 89 (?)'	'T'	19	21	4		'Could not measure ovules or aborted seeds'	89
'87 or 89 (?)'	'T'	19	20	0		'Could not measure ovules or aborted seeds'	89
92	'W'	19	12	2		'Could not measure ovules or aborted seeds'	
74	'T'	17	24	2		'Could not measure ovules or aborted seeds'	
74	'T'	17	26	5		'Could not measure ovules or aborted seeds'	
74	'T'	17	7	15		'Could not measure ovules or aborted seeds'	
42	'T'	3	26	1		'Could not measure ovules or aborted seeds'	
'13 or 73 (?)'	'W'	15	29	3		'Could not measure ovules or aborted seeds'	41
'13 or 73 (?)'	'W'	15	34	1		'Could not measure ovules or aborted seeds'	41
'13 or 73 (?)'	'W'	15	30	3		'Could not measure ovules or aborted seeds'	41
60	'T'	11	18	9		'Could not measure ovules or aborted seeds'	
60	'T'	11	26	8		'Could not measure ovules or aborted seeds'	
60	'T'	11	21	2		'Could not measure ovules or aborted seeds'	
60	'T'	11	25	1	2		
9	'T'	29	0	19	0		92
'13 or 73 (?)'	'W'	37	27	0	0	'*'	41
'93 (?)'	'W'	19	14	0	3	'*'	90
'93 (?)'	'W'	19	39	0	0	'*'	90
'93 (?)'	'W'	19	23	2	4	'*'	90
'93 (?)'	'W'	19	17	2	0	'*'	90
9	'W'	19	20	3	0	'*'	92
9	'W'	19	25	4	0	'*'	92
9	'W'	19	19	3	5	'*'	92
9	'W'	19	21	7	3	'*'	92
42	'T'	10	18	3	0	'*'	
42	'T'	10	20	2	0	'*'	
42	'T'	10	23	0	0	'*'	
42	'T'	10	4	3	0	'*'	
53	'W'	33	21	0	0	'*'	
53	'W'	33	13	0	0	'*'	
53	'W'	33	13	0	10	'*'	
'-'	'W'	37	22	2	0	'*'	55
94	'W'	37	29	2	0	'*'	
'-'	'W'	31	25	2	0	'*'	55
'-'	'W'	31	26	0	0	'*'	55
'-'	'W'	31	18	0	3	'*'	55
'-'	'W'	31	11	2	7	'*'	55
'-'	'W'	31	25	1	0	'*'	55
'78 (?)'	'W'	32	21	1	6	'*'	78
'76 (?)'	'T'	13	26	1	0	'*'	76
'76 (?)'	'T'	13	27	3	0	'*'	76
'76 (?)'	'T'	13	25	5	0	'*'	76
92	'W'	19	7	2	8	'*'	
'-'	'W'	11	24	8	0	'*'	55
'-'	'W'	11	26	5	0	'*'	55
'-'	'W'	11	24	4	0	'*'	55
'-'	'W'	11	25	4	0	'*'	55
'-'	'W'	11	28	6	0	'*'	55
'-'	'W'	23	26	4	0	'*'	55
'-'	'W'	23	17	1	8	'*'	55
'-'	'W'	23	26	2	0	'*'	55
'-'	'W'	23	25	2	0	'*'	55
'-'	'W'	23	11	3	11	'*'	55
92	'W'	19	10	3	12	'*'	92
92	'W'	19	13	0	16	'*'	92
92	'W'	19	8	3	11	'*'	92
92	'W'	39	0	15	1	'*'	92
'10 (?)'	'W'	28	21	4	9		103
'10 (?)'	'W'	28	25	3	0		103
'10 (?)'	'W'	28	30	4	0		103
'10 (?)'	'W'	28	38	1	2		103
'10 (?)'	'W'	28	26	0	7		103
94	'W'	19	30	5	0		
94	'W'	19	23	5	3		
94	'W'	19	22	2	7		
94	'W'	19	24	5	2		
94	'W'	19	24	8	3		
92	'W'	39	0	5	14		
'13 or 73 (?)'	'W'	30	30	4	3		41
'13 or 73 (?)'	'W'	30	26	5	3		41
'13 or 73 (?)'	'W'	30	25	6	4		41
'10 (?)'	'W'	34	28	1	2		103
'10 (?)'	'W'	34	22	3	0		103
'10 (?)'	'W'	34	30	2	2		103
'10 (?)'	'W'	34	15	2	6		103
	'W'''	11	12	4	10		'51-60'
